檳	槟
櫃	柜
檻	槛
檸	柠
檯	台
殯	殡
臏	膑
臍	脐
叢	丛
竄	窜
竅	窍
蟬	蝉
蟲	虫
蟣	虮
蟯	蛲
蕆	蒇
蕩	荡
蕢	蒉
蕁	荨
蕎	荞
蕘	荛
蕪	芜
蕭	萧
蕕	莸
蕓	芸
雛	雏
雞	鸡
雙	双
雜	杂
儲	储
礎	础
闖	闯
闔	阖
闓	闿
闕	阙
闐	阗
簞	箪
簡	简
簣	篑
簫	箫
鼕	冬
瀆	渎
濺	溅
瀏	浏
濾	泸
濼	泺
濾	滤
瀋	沈
瀉	泻
斷	断
懟	怼
懣	懑
豐	丰
鯁	鲠
鯀	鲧
鯇	鲩
鯉	鲤
鯊	鲨
獷	犷
獵	猎
歸	归
穢	秽
穡	穑
瞼	睑
醬	酱
醫	医
燼	烬
燾	焘
覲	觐
舊	旧
騍	骒
騎	骑
騏	骐
騅	骓
壙	圹
壘	垒
鄺	邝
䙡	䙌
聵	聩
聶	聂
職	职
耮	耢
禮	礼
癘	疠
糧	粮
魎	魉
繚	缭
繞	绕
繕	缮
繒	缯
織	织
嚕	噜
嚙	啮
轆	辘
轉	转
翹	翘
鞦	秋
軀	躯
鬆	松
觴	觞
嬸	婶
韙	韪
鬩	阋
餳	饧
歟	欤
賾	赜
贄	贽
贅	赘
礙	碍
鵪	鹌
鶉	鹑
鶇	鸫
鶊	鹒
鶄	䴖
鶓	鹋
鵬	鹏
鵮	鹐
鵲	鹊
襖	袄
襠	裆
襝	裣
鏰	镚
鏢	镖
鏟	铲
鏑	镝
鏡	镜
鏗	铿
鏈	链
鏤	镂
鏝	镘
鏘	锵
鏹	镪
鎩	铩
鏜	镗
鏇	旋
鏞	镛
鏨	錾
鏃	镞
邊	边
癟	瘪
瀕	濒
瀨	濑
瀝	沥
瀧	泷
瀟	潇
餺	馎
餾	馏
饃	馍
餿	馊
餼	饩
辭	辞
蠆	虿
蟶	蛏
蟻	蚁
蠅	蝇
鯧	鲳
鯛	鲷
鯡	鲱
鯨	鲸
鯤	鲲
鯪	鲮
鯢	鲵
鯰	鲶
鯖	鲭
鯫	鲰
鯔	鲻
懲	惩
懷	怀
懶	懒
寵	宠
疇	畴
禱	祷
禰	祢
顛	颠
類	类
顙	颡
願	愿
櫝	椟
櫟	栎
櫓	橹
櫚	榈
櫞	橼
櫛	栉
牘	牍
犢	犊
關	关
鬍	胡
壞	坏
壢	坜
壟	垄
壚	垆
繯	缳
繪	绘
繫	系
繭	茧
繮	缰
繳	缴
繰	缲
繩	绳
繡	绣
繹	绎
薈	荟
薊	蓟
薦	荐
薑	姜
薔	蔷
薌	芗
蕷	蓣
穫	获
穩	稳
譏	讥
譎	谲
譜	谱
譙	谯
識	识
譚	谭
譖	谮
證	证
轎	轿
轔	辚
轍	辙
曠	旷
臘	腊
離	离
難	难
嚦	呖
嚨	咙
嚮	向
麗	丽
簾	帘
簽	签
飀	飗
颼	飕
攏	拢
隴	陇
廬	庐
氌	氇
羅	罗
羆	罴
矇	蒙
龐	庞
騙	骗
騖	骛
蹺	跷
蹻	硚
瓊	琼
璽	玺
覷	觑
勸	劝
獸	兽
獺	獭
獻	献
爍	烁
韜	韬
韞	韫
霧	雾
厴	厣
贋	赝
贊	赞
贈	赠
鰐	鳄
鯿	鳊
鰆	䲠
鰈	鲽
鰒	鳆
鰉	鳇
鯽	鲫
鰌	䲡
鰍	鳅
鰓	鳃
鰂	鲗
鶚	鹗
鶿	鹚
鷀	鹚
鶡	鹖
鶘	鹕
鶪	䴗
鶥	鹛
鶖	鹙
鶩	鹜
齙	龅
齣	出
齟	龃
齡	龄
齠	龆
齜	龇
寶	宝
辮	辫
繽	缤
繼	继
繾	缱
攙	搀
攔	拦
攖	撄
闡	阐
闞	阚
懺	忏
懸	悬
櫬	榇
櫪	枥
櫳	栊
櫨	栌
櫧	槠
籌	筹
籃	篮
觸	触
黨	党
鐙	镫
鐓	镦
鐨	镄
鏵	铧
鐧	锏
鐫	镌
鐦	锎
鐒	铹
鐐	镣
鐃	铙
鏺	䥽
鏷	镤
鐠	镨
鐥	䦅
鐘	钟
鐯	䦃
竇	窦
躉	趸
礬	矾
礦	矿
礪	砺
礫	砾
豶	豮
薺	荠
藉	借
藎	荩
藍	蓝
薩	萨
艦	舰
覺	觉
癤	疖
癢	痒
癥	症
饉	馑
饅	馒
饊	馓
饈	馐
競	竞
嚳	喾
嚴	严
嚶	嘤
巋	岿
瀾	澜
瀲	潋
瀰	弥
襤	褴
騮	骝
騫	骞
騷	骚
騸	骟
騰	腾
騶	驺
騭	骘
曨	昽
朧	胧
瓏	珑
爐	炉
臚	胪
顢	颟
獼	猕
麵	面
聹	聍
飄	飘
蠐	蛴
蠑	蝾
贍	赡
贏	赢
釋	释
糰	团
犧	牺
鹹	咸
響	响
龑	䶮
譯	译
議	议
譫	谵
罌	罂
驁	骜
驃	骠
驂	骖
驄	骢
